Customer_Id,Signup_Date,Country,Industry,Company_Size,Segment
CUST_2000,2025-09-15,Unknown,Logistics,unknown,SMB
CUST_2001,2025-10-10,Unknown,E-commerce,500+,ENT
CUST_2002,2025-03-19,Unknown,Logistics,201-500,SMB
 CUST_2003 ,2025-11-30,USA,Finance,51-200,SMB
CUST_2004,2025-01-30,Unknown,Unknown,51-200,SMB
CUST_2005,2025-04-27,Canada,SaaS,201-500,ENT
CUST_2006,2025-01-29,USA,Unknown,51-200,SMB
CUST_2007,2025-05-11,UK,SaaS,201-500,SMB
CUST_2008,2025-07-25,UK,Finance,unknown,MID
CUST_2009,2025-01-28,Canada,Finance,201-500,ENT
CUST_2010,2025-09-07,USA,E-commerce,500+,ENT
CUST_2011,2025-09-21,Canada,Logistics,51-200,MID
CUST_2012,2025-04-07,Unknown,Logistics,500+,SMB
CUST_2013,2025-05-16,USA,Finance,unknown,ENT
CUST_2014,2025-04-22,USA,Unknown,500+,MID
CUST_2015,2025-11-01,Unknown,Healthcare,1-10,ENT
CUST_2016,2025-10-22,Unknown,Unknown,500+,MID
CUST_2017,2025-01-26,UK,Logistics,unknown,ENT
CUST_2018,2025-11-21,Canada,E-commerce,11-50,MID
CUST_2019,2025-04-23,USA,Finance,11-50,ENT
CUST_2020,2025-11-13,Unknown,Logistics,201-500,MID
CUST_2021,2025-01-18,UK,Unknown,201-500,MID
CUST_2022,2025-09-08,Unknown,E-commerce,500+,ENT
CUST_2023,2025-07-21,UK,SaaS,201-500,SMB
CUST_2024,2025-04-27,Unknown,SaaS,201-500,SMB
CUST_2025,2025-02-17,Unknown,Finance,unknown,MID
CUST_2026,2025-05-29,Canada,Finance,11-50,ENT
CUST_2027,2025-12-28,USA,E-commerce,1-10,SMB
 CUST_2028 ,2025-12-18,Unknown,Finance,500+,SMB
CUST_2029,2025-11-23,USA,Logistics,51-200,ENT
CUST_2030,2025-09-07,Canada,Healthcare,1-10,MID
CUST_2031,2025-10-24,Unknown,Unknown,unknown,SMB
CUST_2032,2025-09-03,Unknown,Logistics,11-50,ENT
CUST_2033,2025-01-04,Unknown,SaaS,1-10,MID
CUST_2034,2025-10-20,USA,Logistics,51-200,ENT
CUST_2035,2025-05-18,USA,Logistics,11-50,MID
 CUST_2036 ,2025-06-02,USA,E-commerce,1-10,SMB
CUST_2037,2025-02-19,Canada,Finance,1-10,ENT
CUST_2038,2025-08-15,UK,E-commerce,51-200,SMB
CUST_2039,2025-10-19,Unknown,Logistics,500+,SMB
CUST_2040,2025-08-05,Unknown,Healthcare,201-500,ENT
CUST_2041,2025-06-09,UK,Unknown,unknown,SMB
CUST_2042,2025-11-08,USA,Healthcare,unknown,SMB
