Payment_Id,Subscription_Id,Payment_Date,Amount,Payment_Status,Payment_Method
PAY_500001,SUB_30000,2025-09-16,-499.0,Refunded,CREDIT_CARD
PAY_500002,SUB_30001,2025-10-13,79.0,Paid,STRIPE
PAY_500003,SUB_30002,2025-03-24,499.0,Failed,ACH
PAY_500004,SUB_30002,2025-04-23,499.0,Failed,PAYPAL
PAY_500005,SUB_30002,2025-05-21,499.0,Failed,CREDIT_CARD
PAY_500007,SUB_30004,2025-01-31,499.0,Paid,PAYPAL
PAY_500008,SUB_30005,2025-04-28,79.0,Paid,ACH
PAY_500009,SUB_30005,2025-05-28,79.0,Paid,PAYPAL
PAY_500010,SUB_30005,2025-06-29,79.0,Failed,PAYPAL
PAY_500011,SUB_30005,2025-07-29,79.0,Failed,PAYPAL
PAY_500012,SUB_30006,2025-01-31,29.0,Paid,PAYPAL
PAY_500013,SUB_30007,2025-05-14,499.0,Paid,PAYPAL
PAY_500014,SUB_30007,2025-06-10,499.0,Paid,PAYPAL
PAY_500015,SUB_30007,2025-07-12,499.0,Paid,STRIPE
PAY_500016,SUB_30007,2025-08-10,499.0,Paid,STRIPE
PAY_500017,SUB_30008,2025-07-28,-499.0,Refunded,ACH
PAY_500018,SUB_30009,2025-01-29,29.0,Paid,ACH
PAY_500019,SUB_30009,2025-02-28,29.0,Failed,PAYPAL
PAY_500020,SUB_30009,2025-03-29,29.0,Paid,PAYPAL
PAY_500021,SUB_30009,2025-05-01,29.0,Paid,PAYPAL
PAY_500022,SUB_30010,2025-09-11,499.0,Failed,ACH
PAY_500023,SUB_30010,2025-10-09,499.0,Paid,STRIPE
PAY_500024,SUB_30010,2025-11-10,499.0,Failed,STRIPE
PAY_500025,SUB_30011,2025-09-23,79.0,Failed,ACH
PAY_500026,SUB_30012,2025-04-09,79.0,Failed,PAYPAL
PAY_500027,SUB_30012,2025-05-10,79.0,Paid,STRIPE
PAY_500028,SUB_30012,2025-06-06,79.0,Paid,STRIPE
PAY_500029,SUB_30013,2025-05-17,499.0,Paid,PAYPAL
PAY_500030,SUB_30013,2025-06-16,499.0,Failed,ACH
PAY_500031,SUB_30014,2025-04-24,-79.0,Refunded,STRIPE
PAY_500032,SUB_30014,2025-05-27,79.0,Failed,CREDIT_CARD
PAY_500033,SUB_30014,2025-06-24,79.0,Paid,PAYPAL
PAY_500034,SUB_30015,2025-11-01,499.0,Paid,ACH
