Subscription_Id,Customer_Id,Plan_Id,Start_Date,End_Date,Status,Subscription_Days
SUB_30000,CUST_2000,p_ent,2025-09-16,,Active,0
SUB_30001,CUST_2001,p_pro,2025-10-10,,Active,0
SUB_30002,CUST_2002,p_ent,2025-03-21,,Active,0
SUB_30004,CUST_2004,p_ent,2025-01-30,,Active,0
SUB_30005,CUST_2005,p_pro,2025-04-28,,Active,0
SUB_30006,CUST_2006,p_basic,2025-01-31,2025-05-07,Cancelled,96
SUB_30007,CUST_2007,p_ent,2025-05-11,,Active,0
SUB_30008,CUST_2008,p_ent,2025-07-25,2025-11-25,Cancelled,123
SUB_30009,CUST_2009,p_basic,2025-01-28,,Active,0
SUB_30010,CUST_2010,p_ent,2025-09-09,,Active,0
SUB_30011,CUST_2011,p_pro,2025-09-21,2026-01-27,Churned,128
SUB_30012,CUST_2012,p_pro,2025-04-07,,Active,0
SUB_30013,CUST_2013,p_ent,2025-05-17,,Active,0
SUB_30014,CUST_2014,p_pro,2025-04-24,,Active,0
SUB_30015,CUST_2015,p_ent,2025-11-01,,Active,0
SUB_30016,CUST_2016,p_pro,2025-10-22,2026-04-15,Cancelled,175
SUB_30017,CUST_2017,p_pro,2025-01-26,,Active,0
SUB_30018,CUST_2018,p_ent,2025-11-23,2026-01-12,Cancelled,50
SUB_30019,CUST_2019,p_pro,2025-04-24,,Active,0
SUB_30020,CUST_2020,p_ent,2025-11-15,,Active,0
SUB_30021,CUST_2021,p_basic,2025-01-19,,Active,0
SUB_30022,CUST_2022,p_pro,2025-09-09,2025-12-22,Cancelled,104
SUB_30023,CUST_2023,p_pro,2025-07-22,2025-08-28,Churned,37
SUB_30024,CUST_2024,p_basic,2025-04-29,2025-11-14,Churned,199
SUB_30025,CUST_2025,p_pro,2025-02-17,2025-08-07,Cancelled,171
SUB_30026,CUST_2026,p_pro,2025-05-29,,Active,0
SUB_30027,CUST_2027,p_pro,2025-12-30,,Active,0
SUB_30029,CUST_2029,p_pro,2025-11-23,,Active,0
SUB_30030,CUST_2030,p_pro,2025-09-09,,Active,0
SUB_30031,CUST_2031,p_pro,2025-10-25,,Active,0
SUB_30032,CUST_2032,p_pro,2025-09-05,,Active,0
SUB_30033,CUST_2033,p_pro,2025-01-06,,Active,0
SUB_30034,CUST_2034,p_ent,2025-10-21,,Active,0
SUB_30035,CUST_2035,p_basic,2025-05-20,,Active,0
SUB_30037,CUST_2037,p_basic,2025-02-21,2025-07-22,Cancelled,151
SUB_30038,CUST_2038,p_basic,2025-08-17,2026-03-23,Churned,218
SUB_30039,CUST_2039,p_ent,2025-10-21,2026-01-01,Cancelled,72
SUB_30040,CUST_2040,p_pro,2025-08-05,,Active,0
SUB_30041,CUST_2041,p_ent,2025-06-11,2025-10-21,Churned,132
SUB_30042,CUST_2042,p_pro,2025-11-10,,Active,0
SUB_30044,CUST_2044,p_ent,2025-03-15,,Active,0
SUB_30045,CUST_2045,p_pro,2025-10-23,,Active,0
SUB_30046,CUST_2046,p_ent,2025-10-17,,Active,0
SUB_30047,CUST_2047,p_basic,2025-04-12,2025-06-23,Cancelled,72
SUB_30048,CUST_2048,p_basic,2025-03-01,2025-09-03,Cancelled,186
SUB_30049,CUST_2049,p_pro,2025-01-24,,Active,0
SUB_30050,CUST_2050,p_ent,2025-03-21,,Active,0
SUB_30051,CUST_2051,p_basic,2025-03-19,,Active,0
SUB_30052,CUST_2052,p_basic,2025-05-21,,Active,0
SUB_30053,CUST_2053,p_pro,2025-09-11,,Active,0
SUB_30054,CUST_2054,p_pro,2025-01-16,,Active,0
SUB_30055,CUST_2055,p_basic,2025-10-18,,Active,0
SUB_30056,CUST_2056,p_ent,2025-07-15,,Active,0
SUB_30057,CUST_2057,p_pro,2025-10-06,,Active,0
SUB_30058,CUST_2058,p_pro,2025-11-15,,Active,0
SUB_30059,CUST_2059,p_pro,2025-06-15,,Active,0
SUB_30060,CUST_2060,p_pro,2025-10-18,2026-02-14,Cancelled,119
SUB_30061,CUST_2061,p_pro,2025-08-01,,Active,0
SUB_30062,CUST_2062,p_basic,2025-06-13,,Active,0
SUB_30064,CUST_2064,p_pro,2025-11-17,,Active,0
SUB_30065,CUST_2065,p_pro,2025-02-13,,Active,0
SUB_30066,CUST_2066,p_ent,2025-12-02,2026-07-30,Churned,240
SUB_30067,CUST_2067,p_pro,2025-09-12,,Active,0
SUB_30068,CUST_2068,p_basic,2025-11-05,,Active,0
SUB_30069,CUST_2069,p_basic,2025-04-23,,Active,0
SUB_30070,CUST_2070,p_basic,2025-07-09,,Active,0
SUB_30071,CUST_2071,p_ent,2025-03-10,,Active,0
SUB_30072,CUST_2072,p_basic,2025-01-22,,Active,0
SUB_30073,CUST_2073,p_ent,2025-01-03,,Active,0
SUB_30074,CUST_2074,p_ent,2025-04-02,,Active,0
SUB_30075,CUST_2075,p_pro,2025-03-12,,Active,0
SUB_30076,CUST_2076,p_basic,2025-11-10,,Active,0
SUB_30078,CUST_2078,p_pro,2025-12-26,,Active,0
SUB_30079,CUST_2079,p_ent,2026-01-01,,Active,0
SUB_30080,CUST_2080,p_pro,2025-09-07,,Active,0
SUB_30081,CUST_2081,p_basic,2025-08-05,,Active,0
SUB_30082,CUST_2082,p_pro,2025-07-17,,Active,0
SUB_30083,CUST_2083,p_basic,2025-10-06,,Active,0
SUB_30084,CUST_2084,p_pro,2025-02-03,2025-04-11,Cancelled,67
SUB_30085,CUST_2085,p_pro,2025-08-19,,Active,0
SUB_30086,CUST_2086,p_pro,2025-08-10,,Active,0
SUB_30087,CUST_2087,p_pro,2025-09-28,,Active,0
SUB_30088,CUST_2088,p_basic,2025-08-05,,Active,0
SUB_30089,CUST_2089,p_pro,2025-03-29,2025-06-08,Cancelled,71
SUB_30090,CUST_2090,p_pro,2025-12-08,2026-06-22,Cancelled,196
SUB_30091,CUST_2091,p_basic,2025-09-22,2025-11-21,Cancelled,60
SUB_30092,CUST_2092,p_pro,2025-02-06,,Active,0
SUB_30093,CUST_2093,p_basic,2025-12-20,2026-07-13,Cancelled,205
SUB_30094,CUST_2094,p_basic,2025-04-07,,Active,0
SUB_30095,CUST_2095,p_ent,2025-05-13,,Active,0
SUB_30096,CUST_2096,p_pro,2025-02-10,,Active,0
SUB_30097,CUST_2097,p_pro,2025-04-05,,Active,0
SUB_30098,CUST_2098,p_ent,2025-01-23,,Active,0
SUB_30099,CUST_2099,p_pro,2025-04-09,,Active,0
SUB_30100,CUST_2100,p_basic,2025-09-16,,Active,0
SUB_30101,CUST_2101,p_basic,2025-07-04,2025-08-06,Cancelled,33
SUB_30102,CUST_2102,p_basic,2025-05-07,,Active,0
SUB_30103,CUST_2103,p_pro,2025-02-02,,Active,0
SUB_30104,CUST_2104,p_ent,2025-04-21,,Active,0
SUB_30105,CUST_2105,p_ent,2025-11-27,,Active,0
SUB_30106,CUST_2106,p_ent,2025-09-30,,Active,0
SUB_30107,CUST_2107,p_ent,2025-06-23,2025-10-28,Churned,127
SUB_30108,CUST_2108,p_ent,2025-04-01,,Active,0
SUB_30109,CUST_2109,p_ent,2025-04-08,,Active,0
SUB_30110,CUST_2110,p_basic,2025-11-22,,Active,0
SUB_30111,CUST_2111,p_basic,2025-03-05,,Active,0
SUB_30112,CUST_2112,p_pro,2025-09-25,,Active,0
SUB_30113,CUST_2113,p_ent,2025-07-30,,Active,0
