Ticket_Id,Customer_Id,Ticket_Date,Priority,Category,Resolution_Time,Status
TCK_900001,CUST_2006,2025-02-17,High,Login Issue,12,Closed
TCK_900002,CUST_2006,2025-07-17,Low,API Down,41,Resolved
TCK_900003,CUST_2007,2025-08-23,Low,Login Issue,21,Closed
TCK_900004,CUST_2008,2025-11-10,Medium,Login Issue,43,Resolved
TCK_900005,CUST_2008,2025-07-22,Medium,Feature Request,1,Resolved
TCK_900006,CUST_2008,2025-04-14,Critical,API Down,48,Resolved
TCK_900007,CUST_2011,2025-11-18,Low,Billing Bug,40,Resolved
TCK_900008,CUST_2011,2025-04-02,High,Login Issue,49,Resolved
TCK_900009,CUST_2019,2025-06-06,Critical,Billing Bug,28,Open
TCK_900010,CUST_2037,2025-08-16,Medium,Feature Request,4,Open
TCK_900011,CUST_2041,2025-06-02,Low,Feature Request,67,Closed
TCK_900012,CUST_2041,2025-11-12,High,API Down,27,Closed
TCK_900013,CUST_2041,2025-02-24,High,Feature Request,55,Closed
TCK_900016,CUST_2044,2025-05-06,Medium,Feature Request,44,Closed
TCK_900017,CUST_2044,2025-08-04,High,API Down,62,Resolved
TCK_900018,CUST_2044,2025-03-26,High,Login Issue,59,Resolved
TCK_900019,CUST_2045,2025-08-03,Critical,API Down,4,Closed
TCK_900020,CUST_2046,2025-11-01,Low,Login Issue,47,Open
TCK_900021,CUST_2046,2025-10-08,Low,Login Issue,64,Open
TCK_900022,CUST_2046,2025-05-31,High,Login Issue,60,Resolved
TCK_900023,CUST_2049,2025-12-04,Low,API Down,51,Closed
TCK_900024,CUST_2049,2025-09-17,Low,Feature Request,39,Closed
TCK_900025,CUST_2049,2025-04-27,Medium,Login Issue,62,Resolved
TCK_900026,CUST_2055,2025-03-30,High,Feature Request,47,Open
TCK_900027,CUST_2055,2025-04-08,Low,Login Issue,66,Resolved
TCK_900028,CUST_2055,2025-02-17,Critical,Login Issue,29,Open
TCK_900029,CUST_2057,2025-04-28,Low,API Down,61,Open
TCK_900030,CUST_2057,2025-12-09,Critical,API Down,2,Open
TCK_900031,CUST_2079,2025-10-11,Low,Billing Bug,31,Closed
TCK_900032,CUST_2084,2025-06-02,High,API Down,37,Resolved
TCK_900033,CUST_2084,2025-11-16,Low,Login Issue,71,Closed
TCK_900034,CUST_2086,2025-10-27,Critical,Login Issue,32,Closed
TCK_900035,CUST_2089,2025-04-24,High,Login Issue,68,Resolved
TCK_900036,CUST_2102,2025-09-25,Medium,Billing Bug,28,Closed
TCK_900037,CUST_2104,2025-05-22,High,API Down,1,Open
TCK_900038,CUST_2104,2025-09-17,Low,Login Issue,6,Resolved
TCK_900039,CUST_2108,2025-09-14,Critical,API Down,65,Open
TCK_900040,CUST_2108,2025-10-13,Low,Login Issue,24,Open
TCK_900041,CUST_2109,2025-05-13,Low,Login Issue,30,Open
TCK_900042,CUST_2110,2025-03-13,High,API Down,58,Resolved
TCK_900043,CUST_2119,2025-03-30,Critical,Feature Request,50,Closed
TCK_900044,CUST_2123,2025-04-23,Critical,Login Issue,43,Closed
TCK_900045,CUST_2123,2025-07-13,Low,API Down,29,Open
TCK_900046,CUST_2136,2025-05-19,Critical,Feature Request,13,Closed
TCK_900047,CUST_2136,2025-02-23,Low,API Down,15,Closed
TCK_900048,CUST_2136,2025-08-14,Critical,API Down,59,Open
TCK_900052,CUST_2144,2025-05-13,Medium,API Down,15,Closed
TCK_900053,CUST_2151,2025-09-25,High,Login Issue,40,Open
TCK_900054,CUST_2151,2025-10-12,Low,Login Issue,22,Open
TCK_900055,CUST_2155,2025-04-23,Medium,API Down,33,Open
TCK_900056,CUST_2155,2025-02-23,Critical,Feature Request,34,Closed
TCK_900057,CUST_2162,2025-09-30,Low,API Down,55,Open
TCK_900058,CUST_2162,2025-02-03,Low,Billing Bug,28,Resolved
TCK_900059,CUST_2165,2025-10-24,Medium,Feature Request,6,Open
TCK_900060,CUST_2167,2025-09-09,Medium,Billing Bug,36,Closed
TCK_900061,CUST_2167,2025-02-21,Medium,Billing Bug,28,Closed
TCK_900062,CUST_2169,2025-09-24,Medium,Billing Bug,46,Resolved
TCK_900063,CUST_2169,2025-03-21,Medium,Feature Request,49,Resolved
TCK_900064,CUST_2169,2025-08-19,High,Feature Request,1,Open
