Usage_Id,Customer_Id,Event_Date,Feature_Name,Login_Count,Session_Minutes
USG_700001,CUST_2000,2025-09-08,Dashboard_View,8,114.76
USG_700002,CUST_2000,2025-05-11,Export_Csv,3,44.68
USG_700003,CUST_2000,2025-01-17,Export_Csv,3,76.59
USG_700004,CUST_2000,2025-03-10,Export_Csv,8,58.81
USG_700005,CUST_2000,2025-05-25,Export_Csv,3,35.41
USG_700006,CUST_2000,2025-06-13,Billing_Edit,1,28.0
USG_700007,CUST_2000,2025-04-02,Billing_Edit,1,79.73
USG_700008,CUST_2000,2025-01-30,Dashboard_View,5,98.56
USG_700009,CUST_2000,2025-07-01,Team_Invite,2,50.67
USG_700010,CUST_2000,2025-01-22,Dashboard_View,5,15.45
USG_700011,CUST_2000,2025-10-08,Export_Csv,1,14.97
USG_700012,CUST_2000,2025-11-21,Export_Csv,6,78.02
USG_700013,CUST_2000,2025-07-06,Team_Invite,7,101.35
USG_700014,CUST_2000,2025-11-11,Export_Csv,5,53.61
USG_700015,CUST_2000,2025-06-21,Export_Csv,3,96.72
USG_700016,CUST_2000,2025-07-07,Unknown,4,81.62
USG_700017,CUST_2000,2025-12-16,Dashboard_View,2,107.91
USG_700018,CUST_2000,2025-03-18,Team_Invite,2,18.37
USG_700019,CUST_2000,2025-02-26,Api_Post,6,118.5
USG_700020,CUST_2000,2025-05-30,Billing_Edit,1,113.58
USG_700021,CUST_2000,2025-12-11,Export_Csv,8,23.79
USG_700022,CUST_2000,2025-01-12,Unknown,5,96.31
USG_700023,CUST_2000,2025-04-14,Api_Post,7,103.79
USG_700024,CUST_2000,2025-07-11,Team_Invite,4,24.59
USG_700025,CUST_2000,2025-01-27,Team_Invite,1,111.42
USG_700026,CUST_2001,2025-02-08,Unknown,2,10.89
USG_700027,CUST_2001,2025-11-15,Export_Csv,4,23.45
USG_700028,CUST_2001,2025-11-10,Export_Csv,7,91.6
USG_700029,CUST_2001,2025-11-19,Dashboard_View,4,26.8
USG_700030,CUST_2001,2025-09-04,Billing_Edit,1,79.52
USG_700031,CUST_2001,2025-11-20,Dashboard_View,1,72.17
USG_700032,CUST_2001,2025-10-15,Api_Post,1,39.9
USG_700033,CUST_2001,2025-07-03,Api_Post,1,7.61
USG_700034,CUST_2001,2025-11-05,Team_Invite,1,32.37
USG_700035,CUST_2001,2025-05-05,Api_Post,4,74.22
USG_700036,CUST_2001,2025-11-08,Dashboard_View,4,85.84
USG_700037,CUST_2001,2025-01-12,Team_Invite,8,76.0
USG_700038,CUST_2001,2025-03-03,Api_Post,4,10.85
USG_700039,CUST_2001,2025-01-30,Billing_Edit,7,111.78
USG_700040,CUST_2001,2025-11-15,Api_Post,5,67.6
USG_700041,CUST_2001,2025-12-12,Billing_Edit,7,109.3
USG_700042,CUST_2001,2025-08-12,Dashboard_View,3,12.48
USG_700043,CUST_2001,2025-04-19,Dashboard_View,5,42.5
USG_700044,CUST_2001,2025-07-15,Dashboard_View,2,50.48
USG_700045,CUST_2001,2025-11-06,Dashboard_View,5,79.25
USG_700046,CUST_2001,2025-07-24,Team_Invite,7,71.06
USG_700047,CUST_2001,2025-06-28,Team_Invite,4,118.46
USG_700048,CUST_2001,2025-02-11,Dashboard_View,5,97.14
USG_700049,CUST_2001,2025-05-23,Dashboard_View,5,10.97
USG_700050,CUST_2001,2025-07-21,Billing_Edit,7,77.09
USG_700051,CUST_2001,2025-06-23,Team_Invite,6,95.08
USG_700052,CUST_2001,2025-10-13,Api_Post,5,116.52
USG_700053,CUST_2001,2025-03-31,Billing_Edit,1,29.4
USG_700054,CUST_2001,2025-06-13,Billing_Edit,1,94.18
USG_700055,CUST_2001,2025-04-04,Api_Post,3,92.36
USG_700056,CUST_2001,2025-01-08,Api_Post,1,20.24
USG_700057,CUST_2001,2025-08-17,Team_Invite,3,96.39
USG_700058,CUST_2001,2025-06-08,Billing_Edit,3,64.01
USG_700059,CUST_2001,2025-10-18,Api_Post,6,93.16
USG_700060,CUST_2001,2025-11-05,Api_Post,4,41.35
USG_700061,CUST_2001,2025-01-09,Team_Invite,4,53.62
USG_700062,CUST_2002,2025-06-04,Team_Invite,8,107.2
USG_700063,CUST_2002,2025-01-25,Team_Invite,2,86.81
USG_700064,CUST_2002,2025-02-22,Dashboard_View,3,78.77
USG_700065,CUST_2002,2025-02-27,Billing_Edit,2,86.79
USG_700066,CUST_2002,2025-07-13,Api_Post,5,47.21
USG_700067,CUST_2002,2025-01-05,Billing_Edit,3,12.8
USG_700068,CUST_2002,2025-05-31,Billing_Edit,8,11.4
USG_700069,CUST_2002,2025-12-01,Api_Post,5,17.6
USG_700070,CUST_2002,2025-04-20,Billing_Edit,5,58.65
USG_700071,CUST_2002,2025-06-07,Api_Post,2,7.07
USG_700072,CUST_2002,2025-05-15,Unknown,7,80.06
USG_700073,CUST_2002,2025-08-25,Api_Post,4,28.42
USG_700074,CUST_2002,2025-04-04,Api_Post,6,66.41
USG_700075,CUST_2002,2025-09-08,Api_Post,7,60.16
USG_700076,CUST_2002,2025-06-01,Api_Post,7,27.13
USG_700077,CUST_2002,2025-03-12,Billing_Edit,5,92.8
USG_700078,CUST_2002,2025-09-17,Export_Csv,6,66.87
USG_700079,CUST_2002,2025-07-27,Billing_Edit,7,41.21
USG_700080,CUST_2002,2025-09-09,Billing_Edit,8,111.94
USG_700081,CUST_2002,2025-12-14,Team_Invite,1,26.57
USG_700082,CUST_2002,2025-09-15,Export_Csv,7,78.46
USG_700099,CUST_2004,2025-02-23,Unknown,8,94.49
USG_700100,CUST_2004,2025-12-09,Api_Post,8,44.84
USG_700101,CUST_2004,2025-03-24,Export_Csv,5,67.05
USG_700102,CUST_2004,2025-01-18,Dashboard_View,5,80.94
USG_700103,CUST_2004,2025-12-13,Dashboard_View,1,71.28
USG_700104,CUST_2004,2025-11-30,Team_Invite,8,27.27
USG_700105,CUST_2004,2025-03-04,Api_Post,8,49.38
USG_700106,CUST_2004,2025-04-22,Api_Post,7,22.4
USG_700107,CUST_2004,2025-03-27,Export_Csv,6,113.99
USG_700108,CUST_2004,2025-06-12,Export_Csv,3,14.75
USG_700109,CUST_2004,2025-10-28,Unknown,2,45.4
USG_700110,CUST_2004,2025-07-06,Billing_Edit,4,95.36
USG_700111,CUST_2004,2025-10-24,Team_Invite,8,51.59
USG_700112,CUST_2004,2025-06-21,Export_Csv,2,108.79
USG_700113,CUST_2004,2025-05-30,Export_Csv,8,66.07
USG_700114,CUST_2004,2025-06-08,Team_Invite,2,107.0
USG_700115,CUST_2004,2025-12-10,Export_Csv,5,20.77
USG_700116,CUST_2004,2025-05-14,Team_Invite,6,26.85
USG_700117,CUST_2004,2025-05-31,Team_Invite,6,73.74
USG_700118,CUST_2005,2025-02-17,Team_Invite,3,60.28
USG_700119,CUST_2005,2025-10-26,Dashboard_View,5,98.15
USG_700120,CUST_2005,2025-03-08,Export_Csv,8,118.5
USG_700121,CUST_2005,2025-07-15,Billing_Edit,6,42.46
USG_700122,CUST_2005,2025-02-11,Billing_Edit,4,94.45
USG_700123,CUST_2005,2025-10-20,Team_Invite,2,31.63
USG_700124,CUST_2005,2025-04-23,Team_Invite,7,115.03
USG_700125,CUST_2005,2025-11-28,Billing_Edit,2,39.89
USG_700126,CUST_2005,2025-03-27,Billing_Edit,3,30.31
USG_700127,CUST_2005,2025-09-23,Api_Post,3,33.82
USG_700128,CUST_2005,2025-03-20,Export_Csv,6,31.81
USG_700129,CUST_2005,2025-02-19,Billing_Edit,1,14.25
USG_700130,CUST_2005,2025-01-13,Api_Post,8,18.91
USG_700131,CUST_2005,2025-05-01,Export_Csv,7,15.05
USG_700132,CUST_2005,2025-05-04,Export_Csv,7,102.7
USG_700133,CUST_2005,2025-06-24,Api_Post,4,64.36
USG_700134,CUST_2005,2025-03-16,Billing_Edit,6,25.39
USG_700135,CUST_2005,2025-06-26,Dashboard_View,3,110.9
USG_700136,CUST_2005,2025-09-20,Api_Post,1,71.76
USG_700137,CUST_2005,2025-05-25,Export_Csv,2,72.4
USG_700138,CUST_2005,2025-10-19,Team_Invite,8,98.02
USG_700139,CUST_2005,2025-01-27,Dashboard_View,8,46.63
USG_700140,CUST_2005,2025-01-01,Team_Invite,1,107.66
USG_700141,CUST_2005,2025-12-11,Team_Invite,2,95.67
USG_700142,CUST_2005,2025-02-02,Dashboard_View,7,108.88
USG_700143,CUST_2005,2025-09-30,Team_Invite,3,46.48
USG_700144,CUST_2005,2025-08-15,Team_Invite,2,8.66
USG_700145,CUST_2005,2025-03-25,Export_Csv,4,84.14
USG_700146,CUST_2005,2025-06-30,Team_Invite,7,50.22
USG_700147,CUST_2005,2025-08-18,Dashboard_View,4,70.64
USG_700148,CUST_2005,2025-12-10,Billing_Edit,2,37.31
USG_700149,CUST_2005,2025-11-30,Billing_Edit,6,72.7
USG_700150,CUST_2005,2025-11-17,Team_Invite,1,112.35
USG_700151,CUST_2005,2025-10-24,Dashboard_View,4,94.12
USG_700152,CUST_2006,2025-02-01,Billing_Edit,1,10.89
USG_700153,CUST_2006,2025-10-09,Team_Invite,7,53.16
USG_700154,CUST_2006,2025-09-17,Dashboard_View,6,35.88
USG_700155,CUST_2006,2025-11-29,Api_Post,3,21.11
USG_700156,CUST_2006,2025-06-14,Team_Invite,4,55.95
USG_700157,CUST_2006,2025-03-17,Billing_Edit,5,89.26
USG_700158,CUST_2006,2025-04-19,Team_Invite,7,106.58
USG_700159,CUST_2006,2025-10-22,Export_Csv,3,83.35
USG_700160,CUST_2006,2025-10-12,Dashboard_View,5,109.16
USG_700161,CUST_2006,2025-10-31,Dashboard_View,8,72.99
USG_700162,CUST_2006,2025-06-14,Export_Csv,7,73.44
USG_700163,CUST_2006,2025-06-09,Unknown,8,36.52
USG_700164,CUST_2006,2025-10-08,Api_Post,2,90.57
USG_700165,CUST_2006,2025-12-11,Export_Csv,5,39.47
USG_700166,CUST_2006,2025-11-22,Export_Csv,5,77.21
USG_700167,CUST_2006,2025-04-09,Export_Csv,3,79.86
USG_700168,CUST_2006,2025-06-05,Dashboard_View,4,8.17
USG_700169,CUST_2006,2025-03-15,Billing_Edit,6,63.77
USG_700170,CUST_2006,2025-04-07,Dashboard_View,1,83.06
USG_700171,CUST_2006,2025-01-25,Billing_Edit,4,10.94
USG_700172,CUST_2006,2025-02-17,Team_Invite,2,86.65
USG_700173,CUST_2006,2025-12-10,Dashboard_View,1,40.46
USG_700174,CUST_2006,2025-01-30,Export_Csv,8,36.63
USG_700175,CUST_2006,2025-07-16,Team_Invite,2,92.76
USG_700176,CUST_2006,2025-03-26,Api_Post,2,7.43
USG_700177,CUST_2006,2025-10-09,Dashboard_View,7,30.68
USG_700178,CUST_2006,2025-09-19,Api_Post,5,64.77
USG_700179,CUST_2006,2025-07-14,Api_Post,4,75.25
USG_700180,CUST_2006,2025-11-28,Dashboard_View,3,85.1
USG_700181,CUST_2006,2025-05-03,Export_Csv,8,77.31
USG_700182,CUST_2006,2025-11-02,Team_Invite,7,53.45
USG_700183,CUST_2006,2025-09-24,Billing_Edit,5,31.89
