customer_id,signup_date,country,industry,company_size,segment
CUST_2000,2025-09-15,,Logistics,unknown,SMB
CUST_2001,2025-10-10,,E-commerce,500+,Enterprise
CUST_2002,2025-03-19,,Logistics,201-500,small business
 CUST_2003 ,2025-11-30,usa,Finance,51-200,SMB
CUST_2004,2025-01-30,,,51-200,small business
CUST_2005,2025-04-27,Canada,SaaS,201-500,ENT
CUST_2006,2025-01-29,usa,,51-200,SMB
CUST_2007,2025-05-11,united kingdom,SaaS,201-500,small business
CUST_2008,2025-07-25,united kingdom,Finance,unknown,Mid-Market
CUST_2009,2025-01-28,CA,Finance,201-500,Enterprise
CUST_2010,2025-09-07,usa,E-commerce,500+,Enterprise
CUST_2011,2025-09-21,CA,Logistics,51-200,mid
CUST_2012,2025-04-07,,Logistics,500+,SMB
CUST_2013,2025-05-16,United States,Finance,unknown,Enterprise
CUST_2014,2025-04-22,usa,,500+,mid
CUST_2015,2025-11-01,,Healthcare,1-10,ENT
CUST_2016,2025-10-22,,,500+,Mid-Market
CUST_2017,2025-01-26,united kingdom,Logistics,unknown,Enterprise
CUST_2018,2025-11-21,CA,E-commerce,11-50,Mid-Market
CUST_2019,2025-04-23,US,Finance,11-50,ENT
CUST_2020,2025-11-13,,Logistics,201-500,Mid-Market
CUST_2021,2025-01-18,united kingdom,,201-500,mid
CUST_2022,2025-09-08,,E-commerce,500+,ENT
CUST_2023,2025-07-21,united kingdom,SaaS,201-500,SMB
CUST_2024,2025-04-27,,SaaS,201-500,small business
CUST_2025,2025-02-17,,Finance,unknown,Mid-Market
CUST_2026,2025-05-29,Canada,Finance,11-50,ENT
CUST_2027,2025-12-28,United States,E-commerce,1-10,SMB
 CUST_2028 ,2025-12-18,,Finance,500+,small business
CUST_2029,2025-11-23,US,Logistics,51-200,ENT
CUST_2030,2025-09-07,Canada,Healthcare,1-10,Mid-Market
CUST_2031,2025-10-24,,,unknown,small business
CUST_2032,2025-09-03,,Logistics,11-50,Enterprise
CUST_2033,2025-01-04,,SaaS,1-10,mid
CUST_2034,2025-10-20,United States,Logistics,51-200,Enterprise
CUST_2035,2025-05-18,United States,Logistics,11-50,mid
 CUST_2036 ,2025-06-02,usa,E-commerce,1-10,SMB
CUST_2037,2025-02-19,Canada,Finance,1-10,Enterprise
CUST_2038,2025-08-15,united kingdom,E-commerce,51-200,SMB
CUST_2039,2025-10-19,,Logistics,500+,small business
CUST_2040,2025-08-05,,Healthcare,201-500,Enterprise
CUST_2041,2025-06-09,UK,,unknown,SMB
CUST_2042,2025-11-08,US,Healthcare,unknown,small business
 CUST_2043 ,2025-09-17,,Finance,201-500,ENT
CUST_2044,2025-03-15,US,Healthcare,unknown,Enterprise
CUST_2045,2025-10-22,,Healthcare,11-50,ENT
CUST_2046,2025-10-16,CA,SaaS,201-500,Enterprise
CUST_2047,2025-04-12,usa,E-commerce,51-200,small business
CUST_2048,2025-02-28,united kingdom,E-commerce,201-500,mid
CUST_2049,2025-01-23,United States,SaaS,500+,mid
CUST_2050,2025-03-21,,Logistics,51-200,SMB
CUST_2051,2025-03-17,UK,Finance,1-10,mid
CUST_2052,2025-05-20,CA,Logistics,unknown,small business
CUST_2053,2025-09-09,Canada,Healthcare,51-200,Enterprise
CUST_2054,2025-01-15,,Healthcare,1-10,Enterprise
CUST_2055,2025-10-16,,Logistics,unknown,small business
CUST_2056,2025-07-14,united kingdom,,500+,small business
CUST_2057,2025-10-04,united kingdom,Finance,201-500,small business
CUST_2058,2025-11-14,US,SaaS,unknown,small business
CUST_2059,2025-06-14,usa,Logistics,51-200,Mid-Market
CUST_2060,2025-10-16,usa,SaaS,51-200,small business
CUST_2061,2025-08-01,usa,Finance,201-500,Mid-Market
CUST_2062,2025-06-11,US,Finance,1-10,small business
 CUST_2063 ,2025-03-08,usa,Finance,unknown,Enterprise
CUST_2064,2025-11-17,Canada,SaaS,201-500,Enterprise
CUST_2065,2025-02-13,US,E-commerce,51-200,Enterprise
CUST_2066,2025-12-01,,E-commerce,unknown,SMB
CUST_2067,2025-09-10,,,51-200,mid
CUST_2068,2025-11-04,Canada,Finance,unknown,ENT
CUST_2069,2025-04-23,US,SaaS,unknown,Mid-Market
CUST_2070,2025-07-08,usa,SaaS,201-500,Mid-Market
CUST_2071,2025-03-09,US,Logistics,51-200,small business
CUST_2072,2025-01-20,usa,Healthcare,500+,SMB
CUST_2073,2025-01-03,United States,Logistics,51-200,Enterprise
CUST_2074,2025-03-31,united kingdom,Finance,201-500,Enterprise
CUST_2075,2025-03-11,CA,E-commerce,201-500,small business
CUST_2076,2025-11-08,UK,Healthcare,11-50,Enterprise
 CUST_2077 ,2025-09-28,,,500+,mid
CUST_2078,2025-12-26,United States,Healthcare,1-10,SMB
CUST_2079,2025-12-31,,E-commerce,51-200,Mid-Market
CUST_2080,2025-09-07,usa,Healthcare,500+,SMB
CUST_2081,2025-08-04,,SaaS,51-200,ENT
CUST_2082,2025-07-15,Canada,Finance,unknown,SMB
CUST_2083,2025-10-05,UK,E-commerce,1-10,small business
CUST_2084,2025-02-03,United States,,201-500,ENT
CUST_2085,2025-08-18,UK,Logistics,51-200,Mid-Market
CUST_2086,2025-08-10,Canada,SaaS,201-500,ENT
CUST_2087,2025-09-27,,,500+,Mid-Market
CUST_2088,2025-08-03,CA,Healthcare,201-500,SMB
CUST_2089,2025-03-27,,,201-500,SMB
CUST_2090,2025-12-06,usa,SaaS,51-200,Enterprise
CUST_2091,2025-09-22,United States,,unknown,SMB
