subscription_id,customer_id,plan_id,start_date,end_date,status
SUB_30000,CUST_2000,p_ent,2025-09-16,,ACT
SUB_30001,CUST_2001,P_PRO ,2025-10-10,,ACT
SUB_30002,CUST_2002,p_ent,2025-03-21,,active
SUB_30003,CUST_2003,p_ent,2025-12-02,2026-07-01,canceled
SUB_30004,CUST_2004,p_ent,2025-01-30,,active
SUB_30005,CUST_2005,p_pro,2025-04-28,,active_plan
SUB_30006,CUST_2006,p_basic,2025-01-31,2025-05-07,cancelled
SUB_30007,CUST_2007,p_ent,2025-05-11,,active
SUB_30008,CUST_2008,p_ent,2025-07-25,2025-11-25,cancelled
SUB_30009,CUST_2009,p_basic,2025-01-28,,active_plan
SUB_30010,CUST_2010,p_ent,2025-09-09,,active
SUB_30011,CUST_2011,p_pro,2025-09-21,2026-01-27,churned
SUB_30012,CUST_2012,P_PRO ,2025-04-07,,active_plan
SUB_30013,CUST_2013,p_ent,2025-05-17,,active
SUB_30014,CUST_2014,P_PRO ,2025-04-24,,active_plan
SUB_30015,CUST_2015,p_ent,2025-11-01,,ACT
SUB_30016,CUST_2016,p_pro,2025-10-22,2026-04-15,cancelled
SUB_30017,CUST_2017,P_PRO ,2025-01-26,,active
SUB_30018,CUST_2018,p_ent,2025-11-23,2026-01-12,cancelled
SUB_30019,CUST_2019,P_PRO ,2025-04-24,,active
SUB_30020,CUST_2020,p_ent,2025-11-15,,active_plan
SUB_30021,CUST_2021,p_basic,2025-01-19,,active
SUB_30022,CUST_2022,p_pro,2025-09-09,2025-12-22,cancelled
SUB_30023,CUST_2023,P_PRO ,2025-07-22,2025-08-28,churned
SUB_30024,CUST_2024,p_basic,2025-04-29,2025-11-14,churned
SUB_30025,CUST_2025,p_pro,2025-02-17,2025-08-07,canceled
SUB_30026,CUST_2026,p_pro,2025-05-29,,active_plan
SUB_30027,CUST_2027,p_pro,2025-12-30,,active
SUB_30028,CUST_2028,p_pro,2025-12-19,2026-03-22,canceled
SUB_30029,CUST_2029,P_PRO ,2025-11-23,,active
SUB_30030,CUST_2030,P_PRO ,2025-09-09,,active_plan
SUB_30031,CUST_2031,p_pro,2025-10-25,,active_plan
SUB_30032,CUST_2032,P_PRO ,2025-09-05,,active
SUB_30033,CUST_2033,p_pro,2025-01-06,,active
SUB_30034,CUST_2034,p_ent,2025-10-21,,ACT
SUB_30035,CUST_2035,p_basic,2025-05-20,,active
SUB_30036,CUST_2036,p_pro,2025-06-03,2025-07-03,cancelled
SUB_30037,CUST_2037,p_basic,2025-02-21,2025-07-22,canceled
SUB_30038,CUST_2038,p_basic,2025-08-17,2026-03-23,churned
SUB_30039,CUST_2039,p_ent,2025-10-21,2026-01-01,canceled
SUB_30040,CUST_2040,p_pro,2025-08-05,,active_plan
SUB_30041,CUST_2041,p_ent,2025-06-11,2025-10-21,churned
SUB_30042,CUST_2042,p_pro,2025-11-10,,active_plan
SUB_30043,CUST_2043,p_pro,2025-09-19,,active
SUB_30044,CUST_2044,p_ent,2025-03-15,,active
SUB_30045,CUST_2045,P_PRO ,2025-10-23,,active
SUB_30046,CUST_2046,p_ent,2025-10-17,,active_plan
SUB_30047,CUST_2047,p_basic,2025-04-12,2025-06-23,cancelled
SUB_30048,CUST_2048,p_basic,2025-03-01,2025-09-03,canceled
SUB_30049,CUST_2049,p_pro,2025-01-24,,active_plan
SUB_30050,CUST_2050,p_ent,2025-03-21,,active
SUB_30051,CUST_2051,p_basic,2025-03-19,,ACT
SUB_30052,CUST_2052,p_basic,2025-05-21,,ACT
SUB_30053,CUST_2053,P_PRO ,2025-09-11,,active
SUB_30054,CUST_2054,p_pro,2025-01-16,,ACT
SUB_30055,CUST_2055,p_basic,2025-10-18,,ACT
SUB_30056,CUST_2056,p_ent,2025-07-15,,active
SUB_30057,CUST_2057,P_PRO ,2025-10-06,,ACT
SUB_30058,CUST_2058,p_pro,2025-11-15,,active
SUB_30059,CUST_2059,P_PRO ,2025-06-15,,active_plan
SUB_30060,CUST_2060,P_PRO ,2025-10-18,2026-02-14,canceled
SUB_30061,CUST_2061,P_PRO ,2025-08-01,,ACT
SUB_30062,CUST_2062,p_basic,2025-06-13,,ACT
SUB_30063,CUST_2063,p_basic,2025-03-08,,active_plan
SUB_30064,CUST_2064,P_PRO ,2025-11-17,,ACT
SUB_30065,CUST_2065,p_pro,2025-02-13,,active
SUB_30066,CUST_2066,p_ent,2025-12-02,2026-07-30,churned
SUB_30067,CUST_2067,P_PRO ,2025-09-12,,ACT
SUB_30068,CUST_2068,p_basic,2025-11-05,,ACT
SUB_30069,CUST_2069,p_basic,2025-04-23,,active_plan
SUB_30070,CUST_2070,p_basic,2025-07-09,,active
SUB_30071,CUST_2071,p_ent,2025-03-10,,active_plan
SUB_30072,CUST_2072,p_basic,2025-01-22,,active_plan
SUB_30073,CUST_2073,p_ent,2025-01-03,,ACT
SUB_30074,CUST_2074,p_ent,2025-04-02,,ACT
SUB_30075,CUST_2075,P_PRO ,2025-03-12,,ACT
SUB_30076,CUST_2076,p_basic,2025-11-10,,active_plan
SUB_30077,CUST_2077,P_PRO ,2025-09-28,,active_plan
SUB_30078,CUST_2078,P_PRO ,2025-12-26,,ACT
SUB_30079,CUST_2079,p_ent,2026-01-01,,active_plan
SUB_30080,CUST_2080,p_pro,2025-09-07,,active
SUB_30081,CUST_2081,p_basic,2025-08-05,,active
SUB_30082,CUST_2082,P_PRO ,2025-07-17,,active
SUB_30083,CUST_2083,p_basic,2025-10-06,,active_plan
SUB_30084,CUST_2084,P_PRO ,2025-02-03,2025-04-11,cancelled
SUB_30085,CUST_2085,p_pro,2025-08-19,,active_plan
SUB_30086,CUST_2086,p_pro,2025-08-10,,active
SUB_30087,CUST_2087,P_PRO ,2025-09-28,,ACT
SUB_30088,CUST_2088,p_basic,2025-08-05,,ACT
SUB_30089,CUST_2089,p_pro,2025-03-29,2025-06-08,canceled
SUB_30090,CUST_2090,p_pro,2025-12-08,2026-06-22,canceled
SUB_30091,CUST_2091,p_basic,2025-09-22,2025-11-21,canceled
SUB_30092,CUST_2092,p_pro,2025-02-06,,active_plan
SUB_30093,CUST_2093,p_basic,2025-12-20,2026-07-13,canceled
SUB_30094,CUST_2094,p_basic,2025-04-07,,ACT
SUB_30095,CUST_2095,p_ent,2025-05-13,,active_plan
SUB_30096,CUST_2096,p_pro,2025-02-10,,active_plan
SUB_30097,CUST_2097,P_PRO ,2025-04-05,,active_plan
SUB_30098,CUST_2098,p_ent,2025-01-23,,active_plan
SUB_30099,CUST_2099,P_PRO ,2025-04-09,,active_plan
SUB_30100,CUST_2100,p_basic,2025-09-16,,active
SUB_30101,CUST_2101,p_basic,2025-07-04,2025-08-06,canceled
SUB_30102,CUST_2102,p_basic,2025-05-07,,ACT
SUB_30103,CUST_2103,p_pro,2025-02-02,,active_plan
SUB_30104,CUST_2104,p_ent,2025-04-21,,active_plan
SUB_30105,CUST_2105,p_ent,2025-11-27,,active
SUB_30106,CUST_2106,p_ent,2025-09-30,,ACT
SUB_30107,CUST_2107,p_ent,2025-06-23,2025-10-28,churned
SUB_30108,CUST_2108,p_ent,2025-04-01,,ACT
SUB_30109,CUST_2109,p_ent,2025-04-08,,active_plan
SUB_30110,CUST_2110,p_basic,2025-11-22,,active
SUB_30111,CUST_2111,p_basic,2025-03-05,,active_plan
SUB_30112,CUST_2112,p_pro,2025-09-25,,active
SUB_30113,CUST_2113,p_ent,2025-07-30,,active_plan
SUB_30114,CUST_2114,p_ent,2025-01-22,2025-06-27,canceled
SUB_30115,CUST_2115,p_ent,2025-11-17,2025-12-28,cancelled
SUB_30116,CUST_2116,p_ent,2025-03-12,2025-09-26,cancelled
SUB_30117,CUST_2117,P_PRO ,2025-11-15,2026-02-19,canceled
SUB_30118,CUST_2118,p_basic,2025-04-28,,active
SUB_30119,CUST_2119,P_PRO ,2025-02-22,,active_plan
SUB_30120,CUST_2120,p_basic,2025-08-08,2025-09-07,canceled
SUB_30121,CUST_2121,p_ent,2025-07-22,,ACT
SUB_30122,CUST_2122,P_PRO ,2025-08-20,,ACT
SUB_30123,CUST_2123,p_pro,2025-02-18,,active_plan
SUB_30124,CUST_2124,p_basic,2025-03-01,2025-10-01,canceled
SUB_30125,CUST_2125,P_PRO ,2025-06-18,,active
SUB_30126,CUST_2126,P_PRO ,2025-11-23,,active_plan
SUB_30127,CUST_2127,p_ent,2025-05-06,,active_plan
SUB_30128,CUST_2128,p_pro,2025-04-05,,active_plan
SUB_30129,CUST_2129,p_pro,2025-07-07,,active
SUB_30130,CUST_2130,p_basic,2025-12-31,,active_plan
SUB_30131,CUST_2131,p_basic,2025-09-23,2026-02-18,cancelled
SUB_30132,CUST_2132,p_basic,2025-06-03,2025-12-13,canceled
SUB_30133,CUST_2133,P_PRO ,2025-08-14,,ACT
